"CHILD OKEFORD MANOR",,,,,,,,,,,,
Grid ref,ST839128,Long,-2.230388,Lat,50.914436,,,,,,,
Station no,1624/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.71,2.54,0.87,1.88,3.71,5.49,3.10,4.02,4.99,4.34,,
February,6.83,0.70,1.76,3.70,2.31,0.10,4.81,3.60,0.32,4.41,,
March,3.89,3.61,0.68,4.44,1.86,1.17,2.65,1.92,5.11,2.37,,
April,2.97,1.85,2.73,0.19,0.48,1.23,0.22,0.65,2.95,2.32,,
May,2.99,3.47,2.36,2.22,4.58,0.55,2.06,2.44,1.30,1.95,,
June,0.48,1.09,2.53,4.11,2.08,2.56,2.14,5.58,0.76,2.14,,
July,2.02,0.98,3.02,3.22,3.41,3.00,4.02,1.79,0.98,4.35,,
August,5.02,3.56,2.06,2.19,0.21,3.65,2.76,2.87,1.39,4.54,,
September,3.49,4.76,3.21,3.18,0.95,4.30,3.27,4.45,0.10,6.17,,
October,1.09,4.64,3.94,2.98,3.43,1.86,3.67,3.45,3.56,9.89,,
November,11.18,3.52,2.61,8.59,4.21,0.70,2.82,2.85,5.37,5.24,,
December,3.94,2.95,0.98,4.09,5.76,5.98,3.70,4.74,10.39,4.26,,
Total,47.61,33.67,26.75,40.79,32.99,30.59,35.22,38.36,37.22,51.98,,
Calc annual,47.61,33.67,26.75,40.79,32.99,30.59,35.22,38.36,37.22,51.98,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
