"BROCKLESBY PARK",,,,,,,,,,,,
Grid ref,TA140113,Long,-0.279350,Lat,53.585901,,,,,,,
Station no,2577,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.27,1.84,1.24,1.76,1.65,5.38,1.38,1.65,2.70,4.03,,
February,2.80,0.80,1.60,2.31,2.23,1.93,1.91,3.53,0.25,2.07,,
March,2.63,2.25,0.75,1.82,2.44,0.93,1.19,2.00,1.30,1.24,,
April,1.16,0.99,2.23,0.38,0.87,1.16,0.24,1.18,2.15,1.00,,
May,4.58,1.25,2.04,3.85,2.96,0.48,1.24,2.31,0.31,0.82,,
June,1.44,2.65,2.65,1.84,2.47,2.82,1.66,4.05,1.55,0.12,,
July,1.40,0.63,2.25,2.33,0.62,4.37,3.27,3.80,1.49,2.56,,
August,4.45,1.53,2.39,4.15,0.71,4.47,2.56,1.86,0.52,2.72,,
September,1.28,3.22,1.67,1.85,1.04,2.40,3.74,2.15,0.14,1.99,,
October,1.56,3.05,2.13,3.38,1.20,1.17,1.26,1.58,1.67,6.53,,
November,3.46,2.60,1.36,4.73,0.93,1.10,2.33,0.62,2.49,3.30,,
December,1.37,1.90,1.11,2.51,2.60,1.46,1.92,3.08,2.86,3.18,,
Total,28.40,22.71,21.42,30.91,19.72,27.67,22.70,27.81,17.43,29.56,,
Calc annual,28.40,22.71,21.42,30.91,19.72,27.67,22.70,27.81,17.43,29.56,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,,
