"WELLINGTON COLLEGE",,,,,,,,,,,,
Grid ref,SU833635,Long,-0.804881,Lat,51.364467,,,,,,,
Station no,774,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.60,2.79,0.81,1.16,2.91,3.92,1.46,2.61,2.52,2.80,,
February,5.81,0.69,1.55,2.42,1.34,0.15,2.64,2.54,0.15,2.50,,
March,3.83,2.83,0.44,1.86,0.85,0.48,1.01,1.44,2.63,1.42,,
April,2.67,1.22,2.43,0.29,0.13,1.26,0.28,1.20,2.02,0.50,,
May,2.33,2.66,1.72,2.47,3.80,0.21,1.15,1.79,0.60,1.79,,
June,0.76,1.20,1.32,3.86,2.16,2.17,0.84,2.96,0.83,1.17,,
July,1.42,0.42,3.14,2.31,0.26,4.38,3.17,1.08,2.70,2.26,,
August,3.53,2.80,1.85,3.55,0.53,3.90,2.15,3.69,2.13,4.07,,
September,2.58,3.03,1.54,2.13,1.54,3.60,2.76,2.98,0.00,3.10,,
October,0.63,2.80,3.16,2.37,3.84,2.39,1.95,2.29,2.36,7.20,,
November,5.87,3.05,0.99,4.80,2.09,0.56,2.51,2.55,2.76,3.47,,
December,1.79,2.25,0.50,2.65,2.82,3.40,2.56,2.37,3.78,2.80,,
Total,34.82,25.74,19.45,29.87,22.27,26.42,22.48,27.50,22.48,33.08,,
Calc annual,34.82,25.74,19.45,29.87,22.27,26.42,22.48,27.50,22.48,33.08,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
