"BARNARD CASTLE (BOWES MUSEUM)",,,,,,,,,,,,
Grid ref,NZ055166,Long,-1.916496,Lat,54.544630,,,,,,,
Station no,3510,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.68,2.72,0.55,2.85,2.70,3.56,3.01,2.78,2.90,4.93,,
February,3.65,0.42,2.08,2.54,2.33,2.38,2.73,5.58,0.21,3.04,,
March,3.86,1.41,0.33,1.64,1.89,1.44,1.81,2.89,1.37,2.82,,
April,2.13,1.09,2.52,0.70,0.28,0.97,0.21,1.30,2.47,1.69,,
May,3.55,1.91,3.11,3.78,2.04,0.67,1.79,3.69,0.53,2.35,,
June,0.96,1.15,2.39,2.08,2.04,2.63,1.18,3.69,1.99,0.57,,
July,0.99,0.72,2.49,1.13,0.78,3.44,3.59,2.44,1.20,4.16,,
August,3.64,2.28,4.24,5.32,0.87,7.28,4.34,3.26,0.80,2.87,,
September,1.39,3.53,2.14,3.17,1.26,3.67,4.14,3.17,1.21,2.90,,
October,1.18,3.40,1.75,5.21,1.98,1.66,2.72,1.93,2.02,6.74,,
November,8.19,2.32,1.89,6.04,1.89,0.95,1.77,0.66,5.69,4.13,,
December,5.02,2.14,1.18,2.99,4.37,4.49,3.38,4.67,4.56,3.46,,
Total,37.24,23.09,24.67,37.45,22.43,33.14,30.67,36.06,24.95,39.66,,
Calc annual,37.24,23.09,24.67,37.45,22.43,33.14,30.67,36.06,24.95,39.66,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
