"DUNCROISG",,,,,,,,,,,,
Grid ref,NN535380,Long,-4.382285,Lat,56.511172,,,,,,,
Station no,5556/5/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,5.84,4.60,10.88,,,,,
February,,,,,2.78,2.60,5.32,,,,,
March,,,,,1.38,3.80,5.87,,,,,
April,,,,,2.96,1.95,2.66,,,,,
May,,,,,3.57,3.87,2.99,,,,,
June,,,,,2.47,3.88,3.00,,,,,
July,,,,,0.90,5.30,5.09,,,,,
August,,,,,1.45,5.55,5.55,,,,,
September,,,,,4.99,6.80,3.10,,,,,
October,,,,,5.20,4.30,5.69,,,,,
November,,,,,3.47,3.85,,,,,,
December,,,,,10.55,9.90,-999.00,,,,,
Total,,,,,45.56,56.40,63.25,,,,,
Calc annual,0.00,0.00,0.00,0.00,45.56,56.40,50.15,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,13.10,NaN,NaN,NaN,,
