"STRATHDON (TORNASHEAN)",,,,,,,,,,,,
Grid ref,NJ349121,Long,-3.078917,Lat,57.195051,,,,,,,
Station no,5644/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.63,2.22,1.65,2.43,1.10,3.11,2.78,2.44,,,,
February,4.45,1.89,1.30,2.83,4.33,2.67,1.86,4.65,,,,
March,2.99,2.66,0.40,2.34,1.65,3.09,2.09,3.99,,,,
April,3.32,1.37,2.74,1.12,0.70,2.10,1.21,2.21,,,,
May,1.81,2.36,2.43,5.48,3.63,0.87,3.48,3.93,,,,
June,1.36,2.71,4.31,2.18,1.09,2.60,2.88,2.65,,,,
July,3.42,1.57,4.34,2.25,1.44,5.51,7.15,5.20,,,,
August,4.35,4.28,2.16,3.21,0.76,6.41,5.34,3.44,,,,
September,1.04,2.75,3.62,2.24,2.01,4.52,3.94,3.89,,,,
October,1.34,4.74,0.92,5.35,5.14,3.73,1.44,2.78,,,,
November,9.20,4.53,2.03,5.29,1.72,1.19,2.95,0.85,,,,
December,1.80,5.14,3.71,5.03,6.37,4.62,3.72,4.11,,,,
Total,38.71,36.22,29.61,39.75,29.94,40.42,38.84,40.14,,,,
Calc annual,38.71,36.22,29.61,39.75,29.94,40.42,38.84,40.14,0.00,0.00,,
Difference,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,,
