"FULBOURN FLEAM DYKE P.STA. NO.1",,,,,,,,,,,,
Grid ref,TL540549,Long,0.250489,Lat,52.170877,,,,,,,
Station no,1197,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.98,1.44,0.99,1.01,2.07,2.31,0.89,1.93,2.26,1.81,,
February,2.93,0.64,1.38,1.97,1.83,0.69,1.40,2.74,0.12,1.08,,
March,3.06,3.13,0.46,1.93,1.54,0.40,0.76,0.74,1.77,1.31,,
April,3.06,0.97,1.95,0.39,0.39,0.82,0.14,1.04,1.80,0.39,,
May,2.07,1.66,1.27,2.92,1.74,0.70,0.51,2.48,0.46,0.76,,
June,1.11,1.45,2.60,1.64,1.94,1.52,1.79,5.66,1.49,1.87,,
July,1.33,0.46,1.96,2.70,0.21,2.30,2.74,2.76,5.09,3.59,,
August,3.01,4.53,1.87,3.71,0.84,3.05,2.13,2.12,1.54,2.61,,
September,2.00,2.54,1.37,1.47,2.21,1.11,3.40,2.53,0.10,4.71,,
October,0.91,1.66,2.17,1.51,2.80,0.95,1.84,2.04,1.63,4.05,,
November,2.74,2.80,1.33,2.58,0.78,0.87,1.67,1.48,1.64,3.11,,
December,1.23,1.98,0.65,1.43,1.24,1.65,1.87,2.39,3.14,3.03,,
Total,25.43,23.26,18.00,23.26,17.59,16.37,19.14,27.91,21.04,28.32,,
Calc annual,25.43,23.26,18.00,23.26,17.59,16.37,19.14,27.91,21.04,28.32,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,,
