"PERSHORE AIRFIELD",,,,,,,,,,,,
Grid ref,SO973495,Long,-2.040871,Lat,52.143784,,,,,,,
Station no,2432/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,0.89,,,,1.72,3.43,4.21,,
February,,,,1.78,,,,2.91,0.13,1.63,,
March,,,0.82,,,,,0.95,1.97,1.07,,
April,,,1.95,,,,,0.72,2.16,1.04,,
May,,,2.00,,,,,2.20,0.76,1.41,,
June,,,1.75,,,,,3.45,1.47,1.47,,
July,,,3.71,,,,,2.91,1.07,2.54,,
August,,,3.16,,,,,2.24,1.05,3.80,,
September,,,1.73,,,,,4.41,0.09,3.96,,
October,,,1.40,,,,,2.51,2.50,5.48,,
November,,,0.79,,,,,2.18,3.39,3.25,,
December,,,0.74,,,,,2.28,3.82,2.37,,
Total,,,,,,,,28.48,21.84,32.23,,
Calc annual,0.00,0.00,18.05,2.67,0.00,0.00,0.00,28.48,21.84,32.23,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,-0.00,-0.00,,
