"LOCHEARNHEAD (EDINCHIP)",,,,,,,,,,,,
Grid ref,NN581226,Long,-4.299236,Lat,56.374340,,,,,,,
Station no,5543,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.69,5.74,3.28,8.18,3.84,8.50,12.54,7.96,3.53,5.23,,
February,4.54,2.59,3.39,6.12,2.47,2.46,6.88,4.39,2.85,7.20,,
March,4.85,5.03,1.85,5.30,1.82,5.17,6.68,2.51,6.57,3.04,,
April,5.97,3.95,4.17,2.20,3.66,2.41,2.72,2.70,5.75,8.54,,
May,2.09,4.12,4.72,5.73,4.24,4.65,3.04,5.15,2.42,4.30,,
June,3.14,4.85,3.98,3.45,2.71,4.86,2.44,5.02,3.80,2.50,,
July,3.11,2.46,5.81,2.89,1.10,6.45,4.65,6.48,5.43,4.64,,
August,7.49,4.70,2.87,5.37,1.42,6.44,6.04,7.07,3.21,5.41,,
September,6.59,3.03,8.78,6.86,4.95,7.78,4.26,6.44,1.61,4.65,,
October,2.20,7.18,5.24,11.11,5.63,5.34,6.26,6.47,8.07,8.48,,
November,14.30,2.50,10.36,12.86,3.77,2.78,2.99,2.92,10.07,9.21,,
December,9.62,5.84,7.56,11.89,10.87,11.67,11.24,10.05,12.45,8.10,,
Total,70.59,51.99,62.01,81.96,46.48,68.51,69.74,67.16,65.76,71.30,,
Calc annual,70.59,51.99,62.01,81.96,46.48,68.51,69.74,67.16,65.76,71.30,,
Difference,0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
