"HOPTON (HOPTON HOUSE)",,,,,,,,,,,,
Grid ref,TM521998,Long,1.716051,Lat,52.537654,,,,,,,
Station no,1383,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.26,2.52,1.06,1.89,1.58,3.99,1.45,2.15,3.12,,,
February,3.37,1.02,1.46,1.96,2.04,2.03,2.07,3.06,0.21,,,
March,2.93,2.38,0.38,2.21,1.65,0.75,1.68,1.61,0.75,,,
April,3.57,0.81,2.03,0.41,0.53,0.81,0.51,1.22,2.18,,,
May,2.07,1.54,1.23,1.92,1.83,0.68,1.36,3.28,0.42,,,
June,2.08,1.24,1.68,2.65,2.16,1.57,2.26,3.89,0.52,,,
July,2.96,1.47,2.73,2.12,0.21,1.78,3.06,3.13,1.01,,,
August,2.66,3.54,2.31,4.94,1.59,3.35,2.41,2.80,2.16,,,
September,1.67,3.24,2.11,1.55,1.25,1.27,3.31,1.78,0.00,,,
October,0.72,2.01,1.91,2.17,3.89,3.95,1.42,2.24,2.76,,,
November,3.88,4.53,1.11,4.65,0.89,1.23,1.54,1.12,2.95,,,
December,1.55,3.08,0.99,1.76,1.58,1.13,2.03,3.27,2.77,,,
Total,29.72,27.38,19.00,28.23,19.20,22.54,23.10,29.55,18.85,,,
Calc annual,29.72,27.38,19.00,28.23,19.20,22.54,23.10,29.55,18.85,0.00,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,NaN,,
