"FENWICK (HARESHAWMUIR)",,,,,,,,,,,,
Grid ref,NS505436,Long,-4.378163,Lat,55.662834,,,,,,,
Station no,5235,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.90,3.56,,,2.57,,,,,,,
February,2.82,2.30,,,2.16,,,,,,,
March,4.03,2.65,,,1.70,,,,,,,
April,3.36,2.77,,,3.02,,,,,,,
May,1.61,1.83,,,3.99,,,,,,,
June,2.15,3.52,,,2.75,,,,,,,
July,3.52,3.68,,,1.04,,,,,,,
August,5.09,3.67,,,1.74,,,,,,,
September,3.59,2.73,,,4.52,,,,,,,
October,1.24,3.52,,,2.95,,,,,,,
November,6.89,3.11,,,2.32,,,,,,,
December,7.54,5.22,,,6.94,,,,,,,
Total,46.74,38.56,,,35.70,,,,,,,
Calc annual,46.74,38.56,0.00,0.00,35.70,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,0.00,NaN,NaN,NaN,NaN,NaN,,
