"HOPEHEAD",,,,,,,,,,,,
Grid ref,NT738066,Long,-2.414747,Lat,55.352715,,,,,,,
Station no,3581/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.38,4.29,2.30,4.41,4.92,3.49,6.22,4.53,3.35,7.52,,
February,3.77,0.90,2.88,4.27,3.37,3.30,4.22,5.58,1.20,8.20,,
March,2.80,2.68,0.59,3.86,2.75,1.30,2.25,2.50,2.34,2.74,,
April,3.25,3.42,4.14,0.80,1.07,1.02,0.64,2.20,3.56,2.95,,
May,2.34,2.53,2.15,7.00,4.18,1.37,2.35,4.04,0.81,2.59,,
June,1.44,1.55,4.10,2.08,1.48,4.18,1.90,3.65,4.70,2.10,,
July,2.81,1.62,4.48,3.98,2.31,4.50,2.85,5.48,3.29,3.47,,
August,3.91,3.94,4.08,-999.00,1.30,8.56,6.70,3.24,1.09,4.77,,
September,3.72,3.94,5.11,4.84,2.86,2.91,2.75,3.91,1.07,2.61,,
October,0.95,5.90,2.48,8.40,3.50,2.66,4.05,3.01,3.34,6.70,,
November,7.24,4.91,4.50,7.78,2.50,1.58,1.60,0.86,8.15,5.52,,
December,5.73,5.75,2.61,5.24,6.25,7.86,3.24,5.31,8.15,4.65,,
Total,45.34,41.43,39.42,53.93,36.49,42.73,38.77,44.31,41.05,53.82,,
Calc annual,45.34,41.43,39.42,52.66,36.49,42.73,38.77,44.31,41.05,53.82,,
Difference,0.00,-0.00,0.00,1.27,0.00,0.00,0.00,0.00,0.00,0.00,,
