"LOCH FANNICH (THE NEST)",,,,,,,,,,,,
Grid ref,NH159677,Long,-5.087715,Lat,57.661432,,,,,,,
Station no,5773/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.15,9.00,11.32,9.61,-999.00,,,,,,,
February,5.85,5.25,6.97,4.71,-999.00,,,,,,,
March,6.31,4.97,3.60,2.42,-999.00,,,,,,,
April,11.13,3.72,5.67,3.82,-999.00,,,,,,,
May,2.77,4.28,5.06,4.82,-999.00,,,,,,,
June,3.68,5.69,3.47,6.20,-999.00,,,,,,,
July,5.08,6.68,6.04,7.69,-999.00,,,,,,,
August,6.82,5.22,6.98,3.25,-999.00,,,,,,,
September,5.01,8.79,6.31,7.43,-999.00,,,,,,,
October,4.79,9.20,4.49,11.53,-999.00,,,,,,,
November,7.66,7.59,13.26,7.32,-999.00,,,,,,,
December,15.49,7.02,5.90,18.63,-999.00,,,,,,,
Total,83.74,77.41,79.07,87.43,-999.00,,,,,,,
Calc annual,83.74,77.41,79.07,87.43,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,-0.00,0.00,-999.00,NaN,NaN,NaN,NaN,NaN,,
