"HAMILTON (CAMERON CRESCENT)",,,,,,,,,,,,
Grid ref,NS710553,Long,-4.058048,Lat,55.773772,,,,,,,
Station no,5201/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,4.51,1.44,4.85,2.31,,,,,,,
February,,1.27,1.14,3.32,2.79,,,,,,,
March,,2.09,0.94,2.54,1.72,,,,,,,
April,,2.39,1.86,1.28,1.00,,,,,,,
May,,1.68,1.49,3.35,3.43,,,,,,,
June,,2.51,1.11,2.13,0.98,,,,,,,
July,,2.28,3.67,2.87,1.38,,,,,,,
August,,3.82,2.72,4.37,1.28,,,,,,,
September,,2.56,2.50,5.37,3.71,,,,,,,
October,,2.37,1.96,8.62,2.34,,,,,,,
November,,2.37,6.97,6.00,1.81,,,,,,,
December,,3.08,4.43,5.46,6.17,,,,,,,
Total,,30.93,30.23,50.16,28.92,,,,,,,
Calc annual,0.00,30.93,30.23,50.16,28.92,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,0.00,0.00,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
