"DOVER (MARTIN MILL PUMPING STN.)",,,,,,,,,,,,
Grid ref,TR337471,Long,1.342045,Lat,51.175351,,,,,,,
Station no,280,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.73,3.36,1.30,1.89,4.42,5.85,2.52,5.48,3.33,4.66,,
February,6.35,1.96,2.45,3.10,2.56,2.50,5.32,3.15,0.02,2.12,,
March,3.80,3.59,0.14,3.83,2.04,0.41,1.33,2.71,1.50,2.30,,
April,1.99,1.35,1.42,0.19,0.18,0.65,0.32,1.46,3.04,1.20,,
May,2.30,0.98,1.98,2.89,4.51,0.26,1.38,1.48,0.86,2.75,,
June,1.41,1.56,1.97,2.09,1.84,2.94,0.38,3.97,0.75,1.70,,
July,1.83,0.65,2.74,3.51,0.36,2.95,4.56,2.97,3.00,4.15,,
August,5.50,3.44,2.32,4.06,2.29,3.85,3.02,3.64,1.69,4.03,,
September,4.94,7.13,3.91,1.97,0.75,3.20,3.56,2.59,0.10,3.24,,
October,3.19,3.46,3.65,2.00,5.99,2.02,1.38,4.65,3.54,8.96,,
November,5.06,3.52,2.10,6.60,2.07,0.72,4.79,2.31,6.85,7.77,,
December,2.71,4.18,1.25,2.03,2.58,3.31,1.68,4.80,8.73,5.12,,
Total,42.81,35.18,25.23,34.16,29.59,28.66,30.24,39.21,33.41,48.00,,
Calc annual,42.81,35.18,25.23,34.16,29.59,28.66,30.24,39.21,33.41,48.00,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
