"EGGLESTON (WOOD HILL)",,,,,,,,,,,,
Grid ref,NZ028230,Long,-1.958173,Lat,54.602167,,,,,,,
Station no,3519/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.81,2.71,0.78,3.23,2.90,3.88,3.66,2.52,2.63,5.78,,
February,3.84,0.52,2.02,2.41,2.94,2.33,3.04,5.15,0.34,3.46,,
March,4.17,1.97,0.34,1.86,2.23,1.78,1.66,3.24,1.35,2.77,,
April,2.79,1.09,2.74,0.81,0.50,0.96,0.43,2.07,2.52,1.98,,
May,4.02,1.21,2.63,4.71,2.57,0.86,2.00,3.96,0.36,2.36,,
June,0.78,1.26,3.26,2.63,2.34,2.96,1.20,3.76,1.84,0.71,,
July,1.20,1.49,2.71,1.59,1.20,3.14,3.85,2.90,1.49,4.65,,
August,3.59,2.42,4.15,4.84,1.59,8.00,5.17,3.00,0.74,2.35,,
September,1.48,4.25,2.39,4.20,1.56,3.85,4.22,3.08,1.21,2.75,,
October,1.49,3.65,2.36,6.36,1.74,1.73,2.95,2.25,2.10,7.84,,
November,8.88,3.13,2.70,6.23,2.30,1.00,2.53,0.71,5.43,4.56,,
December,5.44,2.63,1.47,3.96,5.30,4.51,3.59,5.38,5.41,3.83,,
Total,40.49,26.33,27.55,42.83,27.17,35.00,34.30,38.02,25.42,43.04,,
Calc annual,40.49,26.33,27.55,42.83,27.17,35.00,34.30,38.02,25.42,43.04,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
