"BURY ST, EDMUNDS (TROSTON HALL)",,,,,,,,,,,,
Grid ref,TL899717,Long,0.784272,Lat,52.310562,,,,,,,
Station no,1394,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.13,2.24,1.03,,,3.53,1.99,,1.67,2.53,,
February,3.03,1.11,1.15,,,0.92,1.91,,0.27,1.27,,
March,3.37,3.32,0.50,,,0.89,1.71,,1.91,1.36,,
April,3.75,1.17,2.14,,,1.05,0.27,,2.23,0.75,,
May,1.98,1.26,1.78,,,0.77,1.53,,0.30,0.43,,
June,1.26,2.08,2.97,,,1.94,1.14,,1.19,1.82,,
July,1.90,1.10,3.22,,,1.44,3.65,,2.62,3.00,,
August,4.25,2.67,2.38,,,3.95,2.85,,0.54,3.46,,
September,2.83,2.54,1.43,,,1.47,3.64,,0.07,3.73,,
October,0.69,2.33,2.27,,,1.82,1.49,,1.65,5.03,,
November,3.70,3.72,1.44,,,0.95,1.66,,1.86,2.48,,
December,1.54,2.15,0.59,,,2.29,2.20,,3.41,2.71,,
Total,30.43,25.69,20.90,,,21.02,24.04,,17.72,28.57,,
Calc annual,30.43,25.69,20.90,0.00,0.00,21.02,24.04,0.00,17.72,28.57,,
Difference,0.00,0.00,-0.00,NaN,NaN,0.00,0.00,NaN,0.00,-0.00,,
