"SOUTHBOROUGH (GREAT BOUNDS RES)",,,,,,,,,,,,
Grid ref,TQ573436,Long,0.248621,Lat,51.170014,,,,,,,
Station no,335/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.57,2.41,1.13,1.72,4.13,5.07,2.32,3.46,2.61,3.69,,
February,6.50,0.87,1.30,1.91,2.14,1.00,4.41,2.40,0.13,2.69,,
March,3.64,3.15,0.30,2.79,1.35,1.14,1.24,1.72,2.16,2.02,,
April,2.35,1.80,2.17,0.88,0.27,1.48,0.22,1.45,2.45,0.76,,
May,2.28,1.71,2.05,2.68,4.66,0.47,1.31,2.05,1.67,1.97,,
June,2.37,1.17,1.89,2.94,2.48,2.47,1.58,5.99,1.02,2.28,,
July,2.18,0.52,2.53,3.06,1.11,3.30,5.36,1.66,2.30,3.50,,
August,5.24,4.05,2.32,3.05,0.90,3.56,2.66,4.95,1.14,5.16,,
September,3.88,2.28,3.59,2.15,2.43,3.33,3.37,3.98,0.16,2.43,,
October,1.31,3.87,3.02,2.22,4.94,1.39,1.29,3.70,2.91,7.00,,
November,5.85,4.51,1.77,6.31,1.25,0.93,3.32,1.69,3.85,5.42,,
December,3.18,2.69,0.88,2.17,2.86,3.96,2.42,4.26,6.35,3.40,,
Total,42.35,29.03,22.95,31.88,28.52,28.10,29.50,37.31,26.75,40.32,,
Calc annual,42.35,29.03,22.95,31.88,28.52,28.10,29.50,37.31,26.75,40.32,,
Difference,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
