"DUNASKIN (ARDOON)",,,,,,,,,,,,
Grid ref,NS441086,Long,-4.460117,Lat,55.346624,,,,,,,
Station no,5258/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.52,6.68,3.22,4.74,3.08,3.08,7.33,5.13,2.02,3.67,,
February,3.82,2.11,1.56,2.87,1.40,1.05,2.82,6.33,1.32,3.86,,
March,3.62,1.88,0.90,3.42,1.31,2.38,4.77,1.11,2.24,2.05,,
April,3.32,2.14,2.53,1.54,1.84,,1.78,2.04,2.61,3.24,,
May,2.45,2.03,3.13,2.79,3.64,,1.95,3.43,1.27,1.26,,
June,1.93,3.02,2.08,4.70,3.17,,1.94,3.77,2.03,3.34,,
July,3.44,3.23,5.37,6.12,1.86,,4.28,4.87,2.28,5.14,,
August,5.25,4.30,4.04,5.47,1.95,,5.62,4.77,0.34,4.82,,
September,5.17,3.90,7.29,6.57,4.95,,3.99,3.42,1.00,3.58,,
October,1.35,4.13,3.90,8.40,3.76,,4.95,3.17,1.93,2.20,,
November,7.81,2.91,7.55,7.09,2.94,,3.11,1.94,2.34,9.86,,
December,9.50,4.75,4.63,6.51,8.07,,5.32,4.86,2.51,6.28,,
Total,52.18,41.08,46.20,60.22,37.97,,47.86,44.84,21.89,49.30,,
Calc annual,52.18,41.08,46.20,60.22,37.97,6.51,47.86,44.84,21.89,49.30,,
Difference,-0.00,0.00,0.00,0.00,0.00,NaN,-0.00,0.00,0.00,-0.00,,
