"BALRUDDERY",,,,,,,,,,,,
Grid ref,NO315322,Long,-3.113652,Lat,56.476915,,,,,,,
Station no,5592,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,0.51,1.58,1.24,,3.19,1.57,,,,
February,,,0.74,2.22,1.06,,3.49,2.13,,,,
March,,,0.42,2.05,1.34,,2.38,2.95,,,,
April,,,1.99,1.12,0.83,,0.74,1.40,,,,
May,,,1.78,5.64,2.20,,2.25,2.94,,,,
June,,2.39,2.04,1.79,1.60,,0.70,3.55,,,,
July,,1.23,3.78,2.87,1.01,,4.72,4.61,,,,
August,,3.02,1.99,4.17,0.50,,4.13,3.21,,,,
September,,0.75,1.94,3.29,1.32,,1.45,1.87,,,,
October,,2.17,1.16,6.88,1.84,,1.94,2.39,,,,
November,,2.07,2.50,4.34,1.65,,1.44,0.86,,,,
December,,2.06,3.57,2.98,4.10,,3.96,4.20,,,,
Total,,,22.42,38.93,18.69,,30.39,31.68,,,,
Calc annual,0.00,13.69,22.42,38.93,18.69,0.00,30.39,31.68,0.00,0.00,,
Difference,NaN,NaN,0.00,0.00,0.00,NaN,0.00,0.00,NaN,NaN,,
