"BURNSIDE",,,,,,,,,,,,
Grid ref,NZ045717,Long,-1.931120,Lat,55.039793,,,,,,,
Station no,3583,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.39,2.22,0.78,2.05,1.97,2.49,1.24,1.24,1.35,3.60,,
February,1.67,0.29,1.33,1.56,2.40,2.16,2.00,2.62,0.52,2.08,,
March,2.69,1.53,0.37,0.71,1.59,0.73,1.50,2.29,0.61,2.21,,
April,1.62,1.43,2.31,0.42,0.97,0.73,0.83,1.62,1.63,1.04,,
May,2.68,1.58,1.81,4.23,1.34,0.42,1.84,3.37,0.22,2.13,,
June,1.34,1.63,2.18,1.64,1.97,4.75,1.46,3.46,1.69,0.43,,
July,1.45,2.44,2.07,2.17,1.73,1.89,3.67,4.44,1.57,4.24,,
August,5.47,2.50,4.28,5.47,0.82,7.82,3.71,2.33,0.42,3.83,,
September,1.36,2.90,2.44,3.94,1.32,2.38,3.11,2.73,0.74,1.70,,
October,0.80,2.65,1.10,5.47,1.27,2.05,2.06,1.60,1.96,5.71,,
November,6.44,3.10,1.46,2.63,1.00,0.56,1.58,0.86,3.66,3.22,,
December,1.46,2.50,1.18,1.96,3.34,1.31,1.46,3.22,3.69,2.37,,
Total,28.37,24.77,21.31,32.25,19.72,27.29,24.46,29.78,18.06,32.56,,
Calc annual,28.37,24.77,21.31,32.25,19.72,27.29,24.46,29.78,18.06,32.56,,
Difference,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,,
