"KINROSS (MAINPARK ROAD)",,,,,,,,,,,,
Grid ref,NO119027,Long,-3.421853,Lat,56.208703,,,,,,,
Station no,5466/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,2.73,5.30,2.86,1.28,4.26,,
February,,,,,,2.27,3.30,4.23,1.22,3.33,,
March,,,,,,1.60,2.75,2.44,2.11,1.77,,
April,,,,,,0.85,1.60,2.07,2.66,2.43,,
May,,,,,,1.67,2.09,2.78,1.04,3.47,,
June,,,,,,3.35,1.96,3.50,2.18,2.03,,
July,,,,,,3.62,4.74,5.15,4.77,4.32,,
August,,,,,,6.58,4.89,3.68,0.85,5.79,,
September,,,,,,4.20,1.74,3.96,0.82,2.05,,
October,,,,,,2.49,3.12,2.36,3.12,5.16,,
November,,,,,,0.82,2.04,1.16,7.72,4.23,,
December,,,,,,4.23,5.50,7.03,6.12,3.55,,
Total,,,,,,34.41,39.03,41.22,33.89,42.39,,
Calc annual,0.00,0.00,0.00,0.00,0.00,34.41,39.03,41.22,33.89,42.39,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,,
