"NAIRN (FIRHALL)",,,,,,,,,,,,
Grid ref,NH881550,Long,-3.872537,Lat,57.571163,,,,,,,
Station no,5686/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.23,2.09,1.11,1.69,1.26,1.44,2.32,2.48,2.41,2.41,,
February,2.05,1.18,1.47,0.91,1.67,1.72,1.65,2.34,0.56,1.61,,
March,1.39,1.53,0.97,1.24,1.00,0.79,3.42,0.99,1.12,0.60,,
April,4.34,0.68,2.48,0.96,0.80,2.29,0.59,1.52,2.67,1.31,,
May,0.61,1.37,3.01,3.87,2.14,1.14,0.80,2.74,0.63,0.24,,
June,1.85,1.66,2.62,2.29,1.01,2.63,1.95,2.30,2.07,3.09,,
July,3.21,1.85,4.18,2.94,0.59,5.41,5.32,3.01,2.45,2.72,,
August,4.58,4.45,2.64,2.67,0.35,4.21,4.52,3.63,1.05,7.56,,
September,0.59,1.62,2.01,2.11,1.73,3.26,1.28,2.55,0.62,2.80,,
October,1.43,1.68,0.81,5.39,3.65,2.82,1.50,1.97,2.60,2.16,,
November,3.74,2.62,2.21,1.69,0.53,1.38,1.75,0.84,2.55,1.62,,
December,3.20,2.09,2.25,3.94,4.70,2.53,2.47,1.64,1.23,1.31,,
Total,29.22,22.82,25.76,29.70,19.43,29.62,27.57,26.01,19.96,27.43,,
Calc annual,29.22,22.82,25.76,29.70,19.43,29.62,27.57,26.01,19.96,27.43,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
