"BASINGSTOKE (CLIDDESDEN ROAD)",,,,,,,,,,,,
Grid ref,SU638511,Long,-1.087146,Lat,51.255505,,,,,,,
Station no,754/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,,,
February,,,,,,,,,,,,
March,,,,,,,,,,,,
April,,1.59,,,,,,,,,,
May,,3.43,,,,,,,,,,
June,,1.44,,,,,,,,,,
July,,0.96,,,,,,,,,,
August,,3.30,,,,,,,,,,
September,,3.92,,,,,,,,,,
October,,4.37,,,,,,,,,,
November,,4.05,,,,,,,,,,
December,,2.83,,,,,,,,,,
Total,,,,,,,,,,,,
Calc annual,0.00,25.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
