"RETFORD (SIR FREDERICK MILNER SCHOOL)",,,,,,,,,,,,
Grid ref,SK711808,Long,-0.934134,Lat,53.319363,,,,,,,
Station no,2634/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.56,1.51,0.51,0.77,2.00,2.46,1.31,1.97,2.15,4.99,,
February,2.83,0.15,1.45,2.09,1.65,0.53,1.22,2.78,0.12,2.52,,
March,2.56,1.75,1.23,1.61,1.25,0.35,1.26,1.05,1.10,1.76,,
April,0.62,0.62,1.64,0.16,0.72,0.78,0.00,0.27,1.98,1.92,,
May,3.29,1.74,1.44,2.93,1.93,0.26,0.66,1.85,0.53,1.41,,
June,0.67,1.71,2.26,2.13,3.47,4.42,0.87,7.39,0.37,1.19,,
July,0.87,0.44,2.27,1.65,0.18,3.35,2.99,7.34,0.72,2.97,,
August,4.68,1.21,1.53,4.96,0.01,5.56,1.40,6.41,0.37,5.70,,
September,1.29,1.32,1.16,1.55,0.27,2.54,3.52,1.30,0.01,3.34,,
October,1.03,1.91,2.61,2.92,0.78,1.00,0.73,1.56,1.71,4.05,,
November,5.47,1.02,1.04,4.09,1.28,0.58,2.79,0.50,2.57,3.16,,
December,1.17,1.37,0.97,2.07,1.79,0.89,0.50,2.96,2.95,2.19,,
Total,26.04,14.75,18.11,26.93,15.32,22.72,17.25,35.38,14.58,35.20,,
Calc annual,26.04,14.75,18.11,26.93,15.33,22.72,17.25,35.38,14.58,35.20,,
Difference,0.00,0.00,0.00,-0.00,-0.01,0.00,0.00,0.00,0.00,0.00,,
