"LOCH LEVEN SLUICE",,,,,,,,,,,,
Grid ref,NT171994,Long,-3.337019,Lat,56.179997,,,,,,,
Station no,5466/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.80,3.00,0.77,3.57,2.02,3.89,5.37,2.26,1.47,4.12,,
February,3.14,0.59,1.36,2.96,3.61,1.85,3.53,3.30,1.03,2.72,,
March,3.52,3.58,1.19,3.81,2.31,1.75,2.83,2.72,1.64,2.30,,
April,2.43,1.65,2.41,1.36,1.23,0.84,1.68,1.74,2.95,1.97,,
May,2.65,1.57,2.47,5.61,2.70,1.72,1.91,2.39,0.80,3.41,,
June,2.63,2.76,2.13,2.97,1.73,3.30,1.56,3.48,2.50,1.90,,
July,5.83,2.12,4.45,2.92,1.36,4.52,5.91,5.33,4.31,3.98,,
August,3.96,3.99,2.03,3.31,0.99,6.34,5.40,3.46,0.73,4.89,,
September,2.26,2.46,4.52,4.47,2.18,3.82,1.81,3.94,0.74,1.85,,
October,0.59,2.86,2.01,8.23,2.58,2.03,3.05,2.86,2.94,5.35,,
November,5.38,2.11,4.86,5.03,1.47,0.62,2.02,1.29,6.89,4.30,,
December,4.27,2.96,4.27,4.32,6.60,3.83,5.68,7.32,5.61,3.67,,
Total,41.46,29.65,32.47,48.56,28.78,34.51,40.75,40.09,31.61,40.46,,
Calc annual,41.46,29.65,32.47,48.56,28.78,34.51,40.75,40.09,31.61,40.46,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
