"BIGGAR (HUNTFIELD)",,,,,,,,,,,,
Grid ref,NT013402,Long,-3.569801,Lat,55.645285,,,,,,,
Station no,5166,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.71,3.93,1.06,3.68,2.19,1.94,3.88,2.69,,,,
February,2.71,0.83,1.10,1.90,1.32,1.62,1.89,2.23,,,,
March,1.89,1.21,0.73,1.77,1.11,1.72,2.66,1.16,,,,
April,3.14,1.56,2.24,1.07,0.68,0.80,1.57,1.28,,,,
May,2.44,1.39,2.14,4.54,2.37,1.22,2.29,2.43,,,,
June,1.54,2.63,1.68,2.49,1.19,2.59,2.04,2.92,,,,
July,3.20,2.53,4.58,3.25,1.70,4.34,3.40,6.86,,,,
August,5.37,4.18,2.42,4.26,2.14,5.67,4.69,3.96,,,,
September,1.93,2.31,2.47,4.18,2.83,3.50,2.86,3.27,,,,
October,0.69,3.10,2.07,6.75,2.32,2.63,3.76,2.12,,,,
November,4.79,2.68,4.18,5.38,0.96,1.07,1.53,,,,,
December,3.54,3.68,4.55,3.90,4.78,3.99,3.66,,,,,
Total,34.95,30.03,29.22,43.17,23.59,31.09,34.23,,,,,
Calc annual,34.95,30.03,29.22,43.17,23.59,31.09,34.23,28.92,0.00,0.00,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,NaN,NaN,NaN,,
