"KETTLETON",,,,,,,,,,,,
Grid ref,NX901995,Long,-3.731572,Lat,55.277340,,,,,,,
Station no,5030/5/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.66,4.88,1.46,4.63,3.65,4.01,5.61,6.13,2.72,4.20,,
February,3.87,1.10,1.04,4.06,2.44,0.96,2.99,5.18,1.54,6.07,,
March,3.73,3.22,0.49,2.65,3.00,2.52,2.54,2.14,3.40,2.56,,
April,2.55,2.47,2.45,1.16,1.86,1.14,2.99,1.49,4.02,4.12,,
May,2.40,3.28,3.05,4.53,3.39,2.40,3.36,5.53,1.10,2.59,,
June,1.93,2.40,1.70,5.04,2.97,3.70,2.27,3.86,2.76,2.34,,
July,3.89,3.87,5.51,5.37,1.39,5.82,3.32,6.31,3.80,3.36,,
August,7.05,3.53,3.10,4.71,2.38,7.08,4.73,4.80,1.05,4.08,,
September,4.26,1.66,5.35,6.37,5.59,3.86,4.20,6.46,1.78,4.03,,
October,0.68,4.79,4.17,13.55,3.48,1.96,3.45,4.66,6.39,3.81,,
November,10.67,3.33,6.20,9.29,2.45,1.25,2.75,2.04,10.56,7.14,,
December,7.15,4.01,4.82,5.38,7.31,6.52,5.53,4.61,5.37,5.31,,
Total,54.84,38.54,39.34,66.74,39.91,41.22,43.74,53.21,44.39,49.61,,
Calc annual,54.84,38.54,39.34,66.74,39.91,41.22,43.74,53.21,44.49,49.61,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,-0.10,-0.00,,
