"BROUGHSHANE (QUOLIE)",,,,,,,,,,,,
Grid ref,ID178128,Long,-6.162013,Lat,54.949041,,,,,,,
Station no,6237,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.23,5.69,2.29,6.08,4.70,5.58,5.22,5.68,3.44,4.79,,
February,4.02,2.26,2.31,4.29,5.26,1.96,3.49,6.05,2.02,5.00,,
March,4.33,1.93,0.79,4.11,1.59,2.11,3.80,2.72,2.82,2.62,,
April,2.67,2.29,3.72,1.45,3.45,2.89,2.00,3.45,3.81,3.72,,
May,2.65,1.69,2.28,5.18,3.71,2.30,2.14,4.17,1.84,2.60,,
June,3.87,3.81,2.57,4.53,5.28,4.24,4.70,5.32,2.45,3.00,,
July,4.31,4.16,7.32,5.47,1.02,5.77,6.55,5.11,6.11,8.67,,
August,5.11,7.87,5.84,4.05,1.17,8.92,4.82,4.66,1.51,5.46,,
September,2.93,5.57,4.40,5.48,6.62,3.70,7.94,5.10,1.67,3.47,,
October,1.26,5.07,2.37,9.15,5.05,4.26,5.12,4.15,5.05,5.41,,
November,10.36,5.56,5.08,6.49,2.76,3.36,2.64,3.11,5.68,4.80,,
December,5.65,5.50,4.76,8.34,5.31,6.42,6.74,5.99,8.09,3.77,,
Total,51.39,51.40,43.73,64.62,45.92,51.51,55.16,55.51,44.49,53.31,,
Calc annual,51.39,51.40,43.73,64.62,45.92,51.51,55.16,55.51,44.49,53.31,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
