"PRESTWICK",,,,,,,,,,,,
Grid ref,NS347261,Long,-4.618570,Lat,55.500635,,,,,,,
Station no,5220/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.53,3.80,2.12,3.41,2.49,2.50,4.24,3.32,1.21,,,
February,2.56,1.40,1.13,2.31,1.31,0.90,2.13,3.32,1.56,,,
March,2.87,1.85,0.69,1.83,1.05,1.23,3.94,0.93,1.97,,,
April,1.90,1.37,1.21,0.88,2.34,0.90,2.23,1.16,1.70,,,
May,1.66,1.69,1.67,1.85,2.65,1.46,1.90,2.59,1.14,,,
June,1.54,2.18,0.94,3.28,2.81,1.94,2.13,2.68,3.53,,,
July,1.61,2.38,3.47,4.16,1.27,4.05,3.82,4.67,3.99,,,
August,3.35,5.24,2.86,3.41,1.62,6.27,4.14,4.00,,,,
September,2.42,2.40,3.10,4.35,2.88,3.58,3.60,3.38,,,,
October,0.85,3.36,2.83,7.90,1.72,3.30,3.74,,,,,
November,4.78,2.11,4.68,4.28,1.81,1.30,1.91,1.53,,,,
December,5.27,3.06,3.62,4.24,4.34,3.64,2.40,3.67,,,,
Total,32.34,30.84,28.32,41.90,26.29,31.07,36.18,,,,,
Calc annual,32.34,30.84,28.32,41.90,26.29,31.07,36.18,31.25,15.10,0.00,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
