"BRIDPORT (SHORE)",,,,,,,,,,,,
Grid ref,SY480942,Long,-2.738378,Lat,50.745064,,,,,,,
Station no,1594/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.61,2.20,,,,,,,,,,
February,5.54,0.70,,,,,,,,,,
March,3.94,3.69,,,,,,,,,,
April,1.81,2.15,,,,,,,,,,
May,2.51,2.93,,,,,,,,,,
June,0.77,1.62,,,,,,,,,,
July,2.49,1.61,,,,,,,,,,
August,4.83,3.75,,,,,,,,,,
September,4.04,4.64,,,,,,,,,,
October,1.03,4.51,,,,,,,,,,
November,8.29,4.12,,,,,,,,,,
December,3.07,3.11,,,,,,,,,,
Total,41.93,35.03,,,,,,,,,,
Calc annual,41.93,35.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
