"ROYSTON (EARLS HILL HOUSE)",,,,,,,,,,,,
Grid ref,TL355407,Long,-0.025491,Lat,52.048136,,,,,,,
Station no,982,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.73,1.65,0.89,0.84,2.44,3.30,1.17,2.41,,,,
February,4.04,0.59,1.64,2.02,1.55,0.80,2.35,2.67,,,,
March,3.20,3.51,0.48,2.25,1.39,0.55,1.19,1.15,,,,
April,2.47,1.15,2.15,0.23,0.54,1.34,0.26,1.07,,,,
May,2.63,2.07,1.80,2.68,3.58,0.44,1.10,2.43,,,,
June,1.16,1.33,1.82,2.07,2.09,2.63,2.30,6.91,,,,
July,1.28,0.69,2.54,2.90,0.26,2.67,2.68,4.23,,,,
August,4.46,4.72,2.45,3.12,1.55,4.00,2.36,2.43,,,,
September,2.12,2.78,2.40,1.41,1.55,2.06,3.20,2.68,,,,
October,1.11,2.22,2.84,2.00,3.02,1.48,2.04,2.52,,,,
November,3.83,3.34,1.58,4.03,1.34,1.06,2.02,,,,,
December,1.65,1.96,0.58,1.96,2.05,2.89,2.17,,,,,
Total,30.68,26.01,21.17,25.51,21.36,23.22,22.84,,,,,
Calc annual,30.68,26.01,21.17,25.51,21.36,23.22,22.84,28.50,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,NaN,NaN,NaN,,
