"CAMERON (WATERWORKS)",,,,,,,,,,,,
Grid ref,NO476115,Long,-2.848174,Lat,56.293033,,,,,,,
Station no,5490,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.78,1.21,0.69,1.72,1.84,2.00,3.39,2.11,1.06,4.78,,
February,2.81,0.65,0.70,2.45,2.78,1.94,3.83,2.43,0.44,2.96,,
March,2.88,2.78,0.38,2.69,2.18,1.15,1.75,3.08,1.46,1.91,,
April,2.44,1.41,2.23,1.45,1.06,0.99,0.94,1.42,2.84,2.07,,
May,2.37,2.01,2.04,4.06,2.13,0.49,1.97,2.07,0.76,1.71,,
June,1.67,2.89,0.90,2.34,1.04,3.11,1.05,2.92,2.39,1.99,,
July,4.06,2.34,4.02,2.11,1.41,4.24,6.14,5.84,2.86,3.87,,
August,4.54,3.47,2.46,2.89,0.29,6.39,3.41,3.84,0.73,4.04,,
September,1.64,1.53,3.04,3.10,1.00,4.54,1.79,2.24,0.59,2.21,,
October,0.24,2.50,2.15,7.07,1.76,1.30,2.18,1.95,1.71,6.11,,
November,6.78,2.52,2.91,5.08,1.23,0.92,1.65,0.80,5.65,4.72,,
December,2.62,2.47,3.66,2.80,3.62,3.18,2.89,5.01,5.93,2.58,,
Total,35.83,25.78,25.18,37.76,20.34,30.25,30.99,33.71,26.42,38.95,,
Calc annual,35.83,25.78,25.18,37.76,20.34,30.25,30.99,33.71,26.42,38.95,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
