"EAGLESHAM ( DUNWAN RES. ) NO 4",,,,,,,,,,,,
Grid ref,NS542492,Long,-4.322379,Lat,55.714234,,,,,,,
Station no,5276/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.75,5.80,3.72,4.93,3.35,2.94,7.21,6.49,2.00,5.85,,
February,4.54,2.65,2.64,4.50,3.20,1.71,3.45,4.80,3.40,6.50,,
March,4.25,4.00,1.48,4.25,2.70,3.27,5.76,2.00,3.40,2.00,,
April,4.15,3.10,2.40,2.17,3.15,1.44,3.40,2.36,4.10,4.90,,
May,1.85,1.98,2.80,3.80,4.65,3.78,2.54,4.30,1.92,2.40,,
June,2.50,4.10,1.60,5.00,2.40,4.36,3.60,3.65,4.65,3.08,,
July,4.75,2.90,6.30,5.45,2.10,5.35,4.74,5.32,6.70,4.74,,
August,6.30,5.60,3.92,5.74,1.85,5.32,6.07,4.70,1.60,3.80,,
September,4.15,3.50,6.18,6.77,5.60,5.75,4.00,4.95,1.35,3.95,,
October,1.36,4.90,3.60,11.90,4.00,5.40,7.14,4.50,8.10,3.50,,
November,7.70,2.70,11.20,8.30,2.00,2.10,2.65,2.20,6.90,7.10,,
December,8.30,5.15,6.35,9.30,9.24,8.10,6.75,7.30,9.08,8.95,,
Total,54.60,46.38,52.19,72.11,44.24,49.52,57.31,52.57,53.20,56.77,,
Calc annual,54.60,46.38,52.19,72.11,44.24,49.52,57.31,52.57,53.20,56.77,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
