"HAWES WATER (BURN BANKS)",,,,,,,,,,,,
Grid ref,NY503159,Long,-2.769602,Lat,54.535918,,,,,,,
Station no,3677/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.81,7.13,2.33,6.04,7.39,4.88,12.62,8.82,6.14,10.79,,
February,7.98,0.77,2.05,5.90,2.69,0.84,7.00,9.21,1.16,11.21,,
March,5.24,3.80,1.12,6.43,1.99,2.35,5.35,1.44,5.05,1.73,,
April,6.52,5.13,5.34,0.93,1.46,1.16,1.13,1.92,6.92,6.03,,
May,2.24,3.27,3.48,5.93,6.19,3.12,3.43,6.72,1.80,2.40,,
June,1.62,3.67,3.00,4.73,3.46,3.26,1.49,5.41,5.60,4.08,,
July,3.44,1.77,6.42,3.25,2.39,4.80,3.30,4.62,4.19,5.48,,
August,6.86,6.05,4.90,6.58,2.48,9.23,7.19,4.27,0.90,4.19,,
September,10.71,6.32,8.41,12.11,3.08,5.00,6.44,7.41,1.01,3.67,,
October,0.84,9.71,4.46,17.39,4.58,4.86,7.69,6.78,7.95,5.01,,
November,15.65,3.93,10.05,17.88,3.95,2.38,2.42,1.01,10.69,17.43,,
December,15.13,5.88,4.56,9.68,9.60,10.15,8.49,5.93,13.01,8.86,,
Total,83.04,57.43,56.12,96.85,49.26,52.03,66.55,63.54,64.42,80.88,,
Calc annual,83.04,57.43,56.12,96.85,49.26,52.03,66.55,63.54,64.42,80.88,,
Difference,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
