"ASHTON-UNDER-LYNE (KNOTT H RES)",,,,,,,,,,,,
Grid ref,SD958014,Long,-2.064799,Lat,53.509268,,,,,,,
Station no,2835,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.42,4.70,2.28,4.24,2.90,5.57,3.61,3.95,4.02,5.25,,
February,3.02,1.39,3.44,2.97,1.97,1.57,2.88,5.79,0.46,2.31,,
March,4.98,2.83,2.64,2.73,2.35,1.42,3.55,2.43,1.89,0.80,,
April,2.87,3.91,2.69,1.03,2.24,2.95,0.83,1.33,3.27,2.30,,
May,1.74,2.39,2.62,3.62,3.78,1.42,1.37,3.51,1.25,2.02,,
June,1.30,2.92,4.21,4.16,3.16,3.04,2.60,5.42,2.78,1.95,,
July,4.11,3.35,7.06,6.35,1.16,6.92,4.94,4.84,3.62,6.03,,
August,6.03,3.46,5.64,6.16,0.77,10.50,5.77,6.58,0.55,6.91,,
September,3.22,4.18,3.15,4.90,2.79,2.79,7.83,5.10,0.29,3.64,,
October,1.19,4.59,2.52,7.27,2.50,2.94,5.09,3.65,3.30,4.25,,
November,7.12,2.79,4.21,5.54,2.14,1.96,2.19,1.65,4.28,5.89,,
December,6.45,3.87,1.84,6.06,4.82,4.37,4.51,3.61,5.90,4.15,,
Total,46.45,40.38,42.30,55.03,30.58,45.45,45.17,47.86,31.61,45.50,,
Calc annual,46.45,40.38,42.30,55.03,30.58,45.45,45.17,47.86,31.61,45.50,,
Difference,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
