"GIRVAN (PENWHAPPLE RESERVOIR)",,,,,,,,,,,,
Grid ref,NX257969,Long,-4.742677,Lat,55.235430,,,,,,,
Station no,5265/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.21,6.63,3.47,4.14,3.90,3.73,5.28,6.85,2.23,4.11,,
February,3.87,2.36,1.80,6.17,2.76,1.29,4.09,4.90,3.13,6.16,,
March,4.66,2.53,0.58,3.61,1.61,2.07,3.90,1.17,4.22,1.39,,
April,2.96,2.12,1.71,1.71,3.78,1.23,2.52,2.51,3.80,5.02,,
May,2.56,2.16,2.49,2.73,3.65,2.75,1.51,3.03,1.56,2.10,,
June,2.49,3.37,0.79,5.52,2.67,3.56,3.10,3.99,3.41,3.12,,
July,3.32,4.32,7.24,6.26,2.03,5.67,5.18,5.58,4.94,5.31,,
August,7.52,5.95,3.44,5.09,1.79,5.77,6.30,5.10,1.91,5.13,,
September,2.83,2.80,6.47,6.34,4.49,5.04,3.59,4.61,2.73,4.74,,
October,1.71,5.61,4.86,9.82,4.15,3.25,5.96,3.43,8.27,3.47,,
November,8.87,3.03,7.46,8.09,2.91,2.19,2.72,2.95,7.19,8.46,,
December,8.59,5.84,4.52,7.57,6.38,5.25,5.89,5.42,8.76,7.05,,
Total,54.59,46.72,44.83,67.05,40.12,41.80,50.04,49.54,52.15,56.06,,
Calc annual,54.59,46.72,44.83,67.05,40.12,41.80,50.04,49.54,52.15,56.06,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
