"BOURNE P. STA.",,,,,,,,,,,,
Grid ref,TF101201,Long,-0.369609,Lat,52.767285,,,,,,,
Station no,230105,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,0.71,2.45,2.90,3.41,,
February,,,,,,,2.78,3.53,0.12,2.30,,
March,,,,,,,1.93,1.13,3.10,1.49,,
April,,,,,,,0.28,0.69,1.26,0.33,,
May,,,,,,,1.67,1.21,0.81,0.83,,
June,,,,,,,2.20,4.57,0.55,1.18,,
July,,,,,,,2.91,3.39,2.10,3.43,,
August,,,,,,,3.06,3.22,1.01,2.77,,
September,,,,,,,4.30,1.95,0.31,2.59,,
October,,,,,,,0.92,1.52,1.13,6.87,,
November,,,,,,,1.57,1.08,1.38,3.03,,
December,,,,,,,2.20,2.44,3.27,3.48,,
Total,,,,,,,24.53,27.18,17.94,31.71,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,24.53,27.18,17.94,31.71,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,,
