"ATTADALE",,,,,,,,,,,,
Grid ref,NG936383,Long,-5.435885,Lat,57.388159,,,,,,,
Station no,5789/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,5.50,5.38,,
February,,,,,,,,,3.00,6.36,,
March,,,,,,,,,4.46,1.05,,
April,,,,,,,,,4.97,5.57,,
May,,,,,,,,,2.24,2.29,,
June,,,,,,,,,6.44,4.02,,
July,,,,,,,,,8.41,3.75,,
August,,,,,,,,,5.83,6.09,,
September,,,,,,,,,3.99,4.10,,
October,,,,,,,,,10.45,1.17,,
November,,,,,,,,,8.69,4.81,,
December,,,,,,,,,9.74,9.80,,
Total,,,,,,,,,73.72,54.39,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73.72,54.39,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
