"KETTLEBURGH (HOME FARM)",,,,,,,,,,,,
Grid ref,TM258602,Long,1.302342,Lat,52.193772,,,,,,,
Station no,1363/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,1.94,4.51,1.56,2.48,2.34,3.36,,
February,,,,,2.33,1.44,2.68,3.03,0.23,1.26,,
March,,,,,1.08,0.86,1.44,1.38,1.43,1.41,,
April,,,,,0.02,0.85,0.19,1.16,1.54,0.86,,
May,,,,,2.63,0.54,1.49,2.94,0.21,0.50,,
June,,,,,3.58,1.76,2.22,2.94,0.64,2.05,,
July,,,,,0.13,2.16,2.94,2.22,1.45,5.74,,
August,,,,,5.50,3.80,1.86,3.79,1.73,3.06,,
September,,,,,1.81,3.31,3.52,2.76,0.02,5.07,,
October,,,,,4.19,2.64,1.63,2.49,2.39,5.73,,
November,,,,,0.64,1.12,2.66,1.08,2.56,3.93,,
December,,,,,1.66,2.27,2.37,3.28,3.58,4.02,,
Total,,,,,25.51,25.26,24.56,29.55,18.12,36.99,,
Calc annual,0.00,0.00,0.00,0.00,25.51,25.26,24.56,29.55,18.12,36.99,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,-0.00,,
