"LAMBEG (GLENMORE HOUSE)",,,,,,,,,,,,
Grid ref,IJ278661,Long,-6.026517,Lat,54.527279,,,,,,,
Station no,6211,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.64,,,2.79,,,,,,,,
February,3.49,,,3.31,,,,,,,,
March,2.32,,,3.25,,,,,,,,
April,1.53,,,0.64,,,,,,,,
May,2.43,,,3.01,,,,,,,,
June,1.70,,,2.50,,,,,,,,
July,4.08,,,,,,,,,,,
August,2.92,,,,,,,,,,,
September,1.41,,,,,,,,,,,
October,0.55,,,,,,,,,,,
November,5.31,,,,,,,,,,,
December,4.21,,,,,,,,,,,
Total,32.59,,,,,,,,,,,
Calc annual,32.59,0.00,0.00,15.50,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
