"BRINDLE (WHITEHOLME)",,,,,,,,,,,,
Grid ref,SD603259,Long,-2.603196,Lat,53.727978,,,,,,,
Station no,2947,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.85,3.74,1.62,4.17,2.15,4.13,,,,,,
February,3.08,1.17,1.18,2.74,2.28,0.46,,,,,,
March,4.41,1.84,1.38,2.58,1.52,1.34,,,,,,
April,2.39,4.17,2.90,1.01,2.12,2.02,,,,,,
May,2.49,1.88,2.65,4.30,2.60,1.81,,,,,,
June,1.42,3.33,2.33,3.00,3.00,-999.00,,,,,,
July,2.84,2.60,4.18,5.69,0.74,-999.00,,,,,,
August,4.11,5.48,4.06,5.14,0.89,-999.00,,,,,,
September,3.36,4.27,3.98,5.70,3.21,,,,,,,
October,2.09,3.16,1.97,7.92,2.31,,,,,,,
November,7.47,2.25,5.36,5.88,1.98,,,,,,,
December,9.13,3.64,1.80,4.91,4.18,-999.00,,,,,,
Total,46.64,37.53,33.41,53.04,26.98,-999.00,,,,,,
Calc annual,46.64,37.53,33.41,53.04,26.98,9.76,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,-0.00,0.00,-1008.76,NaN,NaN,NaN,NaN,,
