"FOSBURY MANOR",,,,,,,,,,,,
Grid ref,SU306585,Long,-1.562238,Lat,51.324784,,,,,,,
Station no,1528/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,3.89,5.85,4.95,,
February,,,,,,,,3.62,0.23,3.35,,
March,,,,,,,,1.73,4.45,2.37,,
April,,,,,,,,1.26,3.85,1.67,,
May,,,,,,,,2.90,0.67,1.62,,
June,,,,,,,,2.88,1.59,2.52,,
July,,,,,,,,2.85,1.91,3.24,,
August,,,,,,,,4.18,2.19,5.41,,
September,,,,,,,,4.36,0.06,4.44,,
October,,,,,,,,3.19,2.73,10.50,,
November,,,,,,,,2.75,3.49,5.50,,
December,,,,,,,,4.16,8.65,4.90,,
Total,,,,,,,,37.77,35.67,50.47,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.77,35.67,50.47,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
