"CARRICKFERGUS (SOUTH WOODBURN)",,,,,,,,,,,,
Grid ref,IJ371893,Long,-5.872108,Lat,54.733141,,,,,,,
Station no,6221,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.25,4.25,1.53,3.75,4.73,3.66,4.72,4.75,3.44,5.18,,
February,3.70,1.21,1.03,3.84,4.82,1.34,2.70,5.27,1.38,3.97,,
March,3.71,1.88,0.42,4.45,1.62,1.80,4.11,2.82,3.10,3.22,,
April,1.84,2.44,3.05,1.21,2.83,1.57,1.46,2.68,3.09,3.65,,
May,3.18,1.34,2.49,4.90,3.45,1.72,2.99,3.22,1.42,2.13,,
June,2.22,3.30,2.08,4.02,5.92,3.11,1.80,5.72,2.62,2.51,,
July,3.55,2.62,6.48,5.12,1.39,4.31,4.08,5.83,4.03,8.69,,
August,4.77,5.78,3.63,3.71,1.31,7.54,4.44,4.92,1.52,5.51,,
September,2.99,2.64,2.92,5.36,5.13,4.04,7.22,4.55,1.95,3.24,,
October,1.09,4.32,2.26,7.61,4.07,2.93,4.07,2.49,4.51,6.80,,
November,7.89,2.64,4.10,6.95,2.88,1.83,2.42,2.08,4.06,5.43,,
December,5.67,4.34,3.72,6.12,6.34,4.60,4.68,6.07,6.49,3.15,,
Total,44.86,36.76,33.71,57.04,44.49,38.45,44.69,50.40,37.61,53.48,,
Calc annual,44.86,36.76,33.71,57.04,44.49,38.45,44.69,50.40,37.61,53.48,,
Difference,0.00,-0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,,
