"BLUNTISHAM (BROWNSHILL STAUNCH)",,,,,,,,,,,,
Grid ref,TL370728,Long,0.009333,Lat,52.336183,,,,,,,
Station no,1214/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.82,1.36,0.75,1.07,1.18,2.93,1.00,2.23,2.27,2.02,,
February,2.07,0.64,1.40,1.86,1.36,1.11,1.85,2.15,0.23,1.25,,
March,2.64,2.61,0.34,2.43,1.61,0.37,1.64,1.09,2.74,1.34,,
April,2.58,1.17,1.50,0.30,0.46,1.31,0.15,0.90,1.29,0.27,,
May,2.70,1.08,1.94,3.71,2.63,0.65,1.19,2.62,0.58,0.95,,
June,1.38,0.93,2.28,2.04,3.11,2.26,1.55,4.70,1.03,2.62,,
July,1.04,0.63,2.15,2.72,0.61,4.50,2.80,3.07,2.65,3.61,,
August,3.06,3.42,2.31,4.42,1.18,3.31,3.31,3.81,0.47,2.89,,
September,2.35,2.10,0.88,1.56,1.62,1.20,3.65,2.93,0.01,3.55,,
October,0.96,1.83,2.22,1.93,2.41,1.01,1.38,2.04,1.66,5.28,,
November,2.86,2.36,1.30,3.40,1.01,1.04,1.44,1.57,1.35,2.92,,
December,1.40,1.66,0.63,2.14,1.39,1.82,1.88,2.34,2.82,2.81,,
Total,25.86,19.79,17.70,27.58,18.57,21.51,21.84,29.45,17.10,29.51,,
Calc annual,25.86,19.79,17.70,27.58,18.57,21.51,21.84,29.45,17.10,29.51,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
