"BACUP (STAKE BROOK)",,,,,,,,,,,,
Grid ref,SD873251,Long,-2.193940,Lat,53.722149,,,,,,,
Station no,2923/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,5.78,7.06,4.63,6.72,3.98,7.22,,
February,,,,,5.28,1.85,5.19,9.61,0.85,5.65,,
March,,,,,2.96,1.82,5.00,3.32,3.07,1.97,,
April,,,,,2.71,3.98,0.44,1.76,4.26,3.50,,
May,,,,,4.55,2.13,1.96,5.50,2.04,2.41,,
June,,,,,4.07,4.30,2.97,5.62,3.34,1.43,,
July,,,,,2.15,7.47,6.50,3.54,3.47,8.72,,
August,,,,,1.47,11.82,7.86,6.27,0.83,5.82,,
September,,,,,3.71,5.22,6.91,5.31,0.39,3.38,,
October,,,,,3.55,3.39,7.26,5.41,5.69,6.74,,
November,,,,,3.54,2.30,3.45,1.94,6.09,8.91,,
December,,,,,7.73,6.40,5.78,5.97,9.66,5.64,,
Total,,,,,47.50,57.74,57.95,60.97,43.67,61.39,,
Calc annual,0.00,0.00,0.00,0.00,47.50,57.74,57.95,60.97,43.67,61.39,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,-0.00,,
