"LOCH NESS (SRON LAIRIG LODGE)",,,,,,,,,,,,
Grid ref,NH535070,Long,-4.421942,Lat,57.130487,,,,,,,
Station no,5703/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,10.47,6.87,2.53,6.26,,
February,,,,,,,4.98,2.84,3.11,4.87,,
March,,,,,,,5.36,1.19,2.82,1.33,,
April,,,,,,,0.91,3.03,5.61,6.36,,
May,,,,,,,2.09,6.10,1.83,1.34,,
June,,,,,,,2.77,1.77,2.97,3.44,,
July,,,,,,,6.32,4.51,2.75,2.54,,
August,,,,,,,8.59,5.25,3.10,6.13,,
September,,,,,,,3.36,3.84,0.66,2.67,,
October,,,,,,,6.10,7.17,7.09,2.91,,
November,,,,,,4.27,1.61,0.97,8.03,4.37,,
December,,,,,,11.56,6.29,6.26,7.58,6.76,,
Total,,,,,,,58.85,49.80,48.08,48.98,,
Calc annual,0.00,0.00,0.00,0.00,0.00,15.83,58.85,49.80,48.08,48.98,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,-0.00,0.00,-0.00,,
