"BLACKWATER DAM SOUTH NO 2",,,,,,,,,,,,
Grid ref,NN245602,Long,-4.868005,Lat,56.700440,,,,,,,
Station no,5404/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,4.05,7.90,,
February,,,,,,,,,5.77,7.78,,
March,,,,,,,,2.98,6.90,2.52,,
April,,,,,,,,4.55,6.37,9.61,,
May,,,,,,,,7.27,1.74,5.10,,
June,,,,,,,,2.39,7.05,4.81,,
July,,,,,,,,3.85,7.97,6.46,,
August,,,,,,,,7.01,6.63,7.70,,
September,,,,,,,,7.13,2.83,4.55,,
October,,,,,,,,10.51,11.58,3.51,,
November,,,,,,,,2.31,12.17,11.40,,
December,,,,,,,,8.29,14.62,12.43,,
Total,,,,,,,,,87.68,83.77,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.29,87.68,83.77,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,,
