"DESBOROUGH (UDC WW)",,,,,,,,,,,,
Grid ref,SP798836,Long,-0.827367,Lat,52.444548,,,,,,,
Station no,1133,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.22,2.08,0.94,1.05,1.86,3.62,1.24,2.63,3.83,3.97,,
February,3.70,0.78,1.42,2.34,2.10,0.60,2.79,2.37,0.05,1.77,,
March,3.76,2.58,0.91,2.36,2.43,0.87,1.95,1.67,2.29,2.18,,
April,2.69,1.83,1.93,0.34,0.82,0.91,0.38,0.80,2.55,0.72,,
May,3.08,2.52,1.34,2.14,3.23,0.67,1.56,2.15,0.44,0.99,,
June,1.62,1.06,2.40,2.30,2.74,2.68,2.14,5.16,0.67,2.61,,
July,0.96,0.35,2.11,2.34,0.14,3.51,2.76,3.75,1.46,3.00,,
August,4.45,4.14,2.63,3.55,0.69,4.30,2.91,3.15,0.80,5.64,,
September,1.52,1.54,1.76,2.24,1.55,1.92,5.49,1.71,0.00,3.80,,
October,0.82,2.43,2.26,3.07,1.91,1.21,1.17,2.69,1.70,4.52,,
November,4.64,2.75,1.70,5.21,1.11,0.72,1.47,1.79,2.18,2.36,,
December,2.02,2.23,0.73,3.14,1.84,3.24,2.59,2.45,4.53,2.80,,
Total,31.48,24.29,20.13,30.08,20.42,24.25,26.45,30.32,20.50,34.36,,
Calc annual,31.48,24.29,20.13,30.08,20.42,24.25,26.45,30.32,20.50,34.36,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
