"WELBURN (CASTLE HOWARD FM. SCH.)",,,,,,,,,,,,
Grid ref,SE736674,Long,-0.876065,Lat,54.097244,,,,,,,
Station no,3451/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,1.08,2.96,2.36,4.69,,
February,,,,,,,2.41,3.86,0.34,2.54,,
March,,,,,,,1.76,2.12,1.51,0.71,,
April,,,,,,,0.39,1.10,2.94,0.68,,
May,,,,,,0.69,1.01,3.29,0.40,0.74,,
June,,,,,,3.13,2.27,3.84,1.95,0.64,,
July,,,,,,5.33,5.12,2.14,1.91,5.79,,
August,,,,,,6.40,4.94,2.10,0.39,3.00,,
September,,,,,,1.56,3.21,2.57,0.21,4.02,,
October,,,,,,1.49,2.94,1.67,1.67,5.32,,
November,,,,,,1.28,2.15,0.96,3.39,4.02,,
December,,,,,,2.09,2.60,2.87,3.68,3.46,,
Total,,,,,,,29.88,29.48,20.75,35.61,,
Calc annual,0.00,0.00,0.00,0.00,0.00,21.97,29.88,29.48,20.75,35.61,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,-0.00,0.00,-0.00,,
