"KILSYTH (KIRKBURN)",,,,,,,,,,,,
Grid ref,NS701839,Long,-4.086129,Lat,56.030327,,,,,,,
Station no,5350/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.28,3.51,2.57,6.33,4.36,4.55,8.88,6.58,2.33,5.48,,
February,3.25,0.83,2.32,5.52,4.22,1.79,4.46,2.67,2.74,4.77,,
March,3.52,5.22,1.78,4.38,2.38,3.12,7.28,2.65,4.04,2.86,,
April,4.30,2.33,2.55,2.67,3.52,1.58,3.82,1.98,4.42,4.95,,
May,2.38,2.53,3.99,5.24,5.19,3.35,3.58,4.44,1.46,3.43,,
June,3.49,4.59,2.45,4.36,2.72,4.13,2.12,4.21,3.42,3.35,,
July,4.68,2.57,7.68,2.81,1.78,7.49,5.37,6.02,6.45,5.03,,
August,7.67,4.95,3.66,6.20,1.41,6.86,5.26,6.85,1.52,4.81,,
September,5.15,3.53,6.16,8.39,4.65,6.52,3.83,4.70,1.40,3.50,,
October,1.27,4.47,3.11,11.12,4.55,5.17,6.42,5.47,5.65,5.62,,
November,8.10,2.49,8.73,10.64,2.69,1.37,2.49,2.38,8.16,7.52,,
December,8.71,5.58,6.64,8.21,9.72,6.84,8.26,7.52,10.51,6.84,,
Total,58.80,42.60,51.64,75.87,47.19,52.77,61.77,55.47,52.10,58.16,,
Calc annual,58.80,42.60,51.64,75.87,47.19,52.77,61.77,55.47,52.10,58.16,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
