"BELSTEAD HALL",,,,,,,,,,,,
Grid ref,TM127413,Long,1.099188,Lat,52.029305,,,,,,,
Station no,1340/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.76,2.48,0.86,1.33,1.90,3.42,1.22,2.51,1.94,2.71,,
February,3.39,0.78,1.00,2.14,2.10,0.69,2.63,2.59,0.17,1.35,,
March,3.01,2.98,0.27,2.46,1.21,0.80,1.31,0.96,1.44,1.61,,
April,2.71,1.07,1.80,0.32,0.17,0.73,0.30,0.89,1.64,0.46,,
May,2.00,0.98,1.93,1.54,2.60,0.74,1.70,2.35,0.27,0.60,,
June,1.13,1.73,2.82,2.70,3.14,1.53,2.10,4.78,1.19,0.88,,
July,2.43,0.71,2.47,2.75,0.16,2.42,2.78,2.52,2.04,3.46,,
August,3.40,2.98,1.39,3.21,3.26,3.98,2.59,3.54,0.84,3.38,,
September,2.45,2.71,1.48,1.12,1.77,2.03,2.75,2.84,0.02,2.56,,
October,0.52,1.73,2.04,1.78,3.94,1.44,1.67,2.54,1.68,5.51,,
November,3.46,4.25,1.29,3.63,0.72,0.82,2.72,1.14,2.23,3.29,,
December,1.85,2.56,0.68,1.95,1.46,1.94,1.94,3.58,3.30,2.96,,
Total,28.11,24.96,18.03,24.93,22.43,20.54,23.71,30.24,16.76,28.77,,
Calc annual,28.11,24.96,18.03,24.93,22.43,20.54,23.71,30.24,16.76,28.77,,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,,
