"DAER (WHITEBURN)",,,,,,,,,,,,
Grid ref,NS997060,Long,-3.582842,Lat,55.337774,,,,,,,
Station no,5162/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.25,11.50,4.00,6.55,7.95,5.30,10.75,10.40,3.90,8.80,,
February,7.65,4.50,2.55,6.40,3.50,1.65,6.11,8.05,2.90,10.30,,
March,6.10,5.80,1.50,6.60,4.30,3.50,6.55,2.90,7.15,2.70,,
April,5.25,4.00,4.25,1.55,3.50,1.20,4.35,2.10,6.70,8.30,,
May,2.60,3.00,3.90,6.43,5.20,3.70,3.75,5.20,1.55,3.20,,
June,3.30,4.00,3.05,7.75,4.30,5.30,1.75,4.25,5.50,4.55,,
July,4.02,3.50,9.00,5.55,2.35,7.70,7.20,6.25,6.70,5.20,,
August,11.90,5.00,4.75,6.40,2.35,8.40,6.45,5.65,1.75,6.10,,
September,8.50,2.90,7.90,10.25,5.50,7.05,5.30,9.05,1.95,4.65,,
October,0.90,7.03,7.00,14.70,5.10,4.95,7.80,6.30,8.85,6.20,,
November,15.50,4.32,10.10,14.75,4.65,3.20,3.25,2.75,13.85,13.00,,
December,12.18,6.40,7.40,9.10,9.40,12.35,8.65,7.10,12.75,7.60,,
Total,87.15,61.95,65.40,96.03,58.10,64.30,71.91,70.00,73.55,80.60,,
Calc annual,87.15,61.95,65.40,96.03,58.10,64.30,71.91,70.00,73.55,80.60,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
