"PERTH (CRAIGIE HAUGH)",,,,,,,,,,,,
Grid ref,NO113224,Long,-3.438154,Lat,56.385525,,,,,,,
Station no,5545/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.05,1.79,0.49,2.08,1.57,2.31,3.82,1.84,0.74,3.57,,
February,2.99,0.53,0.59,2.71,1.18,0.73,3.70,1.89,0.70,2.78,,
March,1.71,1.78,0.80,2.04,0.88,1.56,2.23,2.44,1.50,1.87,,
April,1.65,1.77,1.95,1.46,0.58,0.53,0.69,1.02,1.96,1.89,,
May,1.76,1.62,1.61,5.47,2.11,0.72,1.68,2.37,0.62,2.86,,
June,1.96,2.35,1.61,1.61,1.36,2.96,0.77,2.91,1.41,1.67,,
July,3.23,2.21,3.87,2.62,1.07,4.12,3.88,6.69,3.77,2.25,,
August,3.40,2.87,1.38,3.49,0.61,4.84,5.16,3.40,0.47,3.90,,
September,1.91,0.91,2.31,3.27,1.18,3.76,1.53,2.61,0.56,2.14,,
October,0.29,2.24,1.12,6.21,1.92,1.82,1.68,1.94,2.14,5.01,,
November,6.15,1.60,3.24,4.40,1.46,0.48,1.19,0.88,3.89,3.15,,
December,2.38,2.32,3.56,3.69,6.52,3.46,4.06,4.84,5.16,2.89,,
Total,30.48,21.99,22.53,39.05,20.44,27.29,30.39,32.83,22.92,33.98,,
Calc annual,30.48,21.99,22.53,39.05,20.44,27.29,30.39,32.83,22.92,33.98,,
Difference,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
