"FELIXKIRK (MOUNT ST. JOHN) NO.2",,,,,,,,,,,,
Grid ref,SE474848,Long,-1.273915,Lat,54.256685,,,,,,,
Station no,3432,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.83,1.73,0.88,2.69,1.57,4.80,1.56,2.50,2.67,4.65,,
February,2.47,0.67,1.65,2.43,2.26,2.21,2.34,3.80,0.56,2.33,,
March,2.80,1.90,0.09,1.94,2.03,0.60,1.49,3.00,1.14,1.07,,
April,1.31,1.47,2.51,0.25,1.51,1.40,0.54,1.05,2.23,0.86,,
May,4.93,1.61,1.84,2.96,2.06,0.63,1.37,3.15,0.59,0.98,,
June,1.28,2.09,4.13,2.53,2.45,4.13,2.08,2.79,2.05,0.58,,
July,3.06,1.71,3.47,2.78,1.19,4.91,4.27,2.65,1.40,5.44,,
August,5.56,2.25,3.64,6.05,0.77,8.19,5.06,3.88,0.27,2.99,,
September,2.66,4.23,1.85,2.01,1.38,2.44,3.25,3.16,0.24,3.01,,
October,1.59,4.14,2.01,4.15,1.64,1.61,2.03,1.81,1.68,6.75,,
November,5.93,1.71,2.42,4.50,2.63,1.63,1.69,0.91,4.29,3.99,,
December,2.48,1.57,1.21,2.19,2.51,2.03,2.21,2.82,3.65,3.15,,
Total,35.90,25.08,25.70,34.48,22.00,34.58,27.89,31.52,20.77,35.80,,
Calc annual,35.90,25.08,25.70,34.48,22.00,34.58,27.89,31.52,20.77,35.80,,
Difference,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
