"LONG NEWTON RESERVOIR",,,,,,,,,,,,
Grid ref,NZ362164,Long,-1.441985,Lat,54.541575,,,,,,,
Station no,3512,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.70,1.93,0.63,2.02,1.84,3.00,1.82,1.48,2.15,4.75,,
February,2.05,0.37,2.22,1.75,1.55,2.07,1.78,3.37,0.77,2.21,,
March,3.20,1.18,0.10,1.50,1.39,0.55,0.85,1.52,0.54,2.02,,
April,1.53,1.88,2.14,0.31,0.96,0.75,0.26,1.39,1.54,0.62,,
May,3.09,1.39,1.74,2.83,1.95,0.37,1.97,2.74,0.64,1.24,,
June,0.86,1.02,2.32,2.36,2.50,3.00,2.50,2.57,1.97,0.39,,
July,3.02,1.37,3.18,2.42,0.97,3.34,3.67,2.77,1.27,4.96,,
August,6.03,2.27,3.40,4.67,0.59,6.58,2.75,3.98,0.23,2.62,,
September,0.82,3.99,1.54,1.83,1.24,2.45,3.28,1.79,1.06,2.52,,
October,1.36,2.44,1.74,4.03,1.71,1.32,1.86,1.23,0.91,5.69,,
November,4.94,2.89,1.39,4.24,2.34,0.77,1.48,0.84,3.52,3.00,,
December,3.36,1.75,0.79,1.55,2.53,2.04,1.58,2.88,2.36,2.60,,
Total,31.96,22.48,21.19,29.51,19.57,26.24,23.80,26.56,16.96,32.62,,
Calc annual,31.96,22.48,21.19,29.51,19.57,26.24,23.80,26.56,16.96,32.62,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,,
