"FAKENHAM(SAPELLI)",,,,,,,,,,,,
Grid ref,TF921296,Long,0.850031,Lat,52.829672,,,,,,,
Station no,1426/5/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,2.36,3.94,1.78,2.98,3.80,4.05,,
February,,,,,3.24,1.92,2.79,4.74,0.21,1.83,,
March,,,,,2.00,0.82,2.09,1.22,1.13,0.99,,
April,,,,,0.63,1.15,0.47,1.34,1.55,0.84,,
May,,,,,2.53,0.56,1.44,3.33,1.65,0.46,,
June,,,,,2.16,2.51,1.95,2.04,1.27,0.87,,
July,,,,,0.21,2.94,3.88,4.50,3.09,2.80,,
August,,,,,1.09,3.96,2.23,2.16,1.39,3.36,,
September,,,,,1.84,1.60,4.04,2.69,0.08,4.15,,
October,,,,,3.57,3.42,1.45,2.60,2.16,4.13,,
November,,,,,0.96,1.58,2.15,1.18,2.03,3.71,,
December,,,,,1.70,1.45,2.77,3.04,3.89,4.21,,
Total,,,,,22.29,25.85,27.04,31.82,22.25,31.40,,
Calc annual,0.00,0.00,0.00,0.00,22.29,25.85,27.04,31.82,22.25,31.40,,
Difference,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,-0.00,0.00,-0.00,,
