"LEEDS (WORTLEY RESERVOIR)",,,,,,,,,,,,
Grid ref,SE267326,Long,-1.596213,Lat,53.789038,,,,,,,
Station no,3278,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.17,2.27,0.47,2.16,1.77,4.27,1.47,2.67,2.81,4.98,,
February,3.04,0.47,1.65,2.75,1.87,1.10,3.00,5.15,0.08,1.74,,
March,2.93,1.77,0.78,1.99,2.53,0.82,1.91,1.87,1.26,2.13,,
April,0.97,1.31,2.16,0.32,0.79,2.23,0.19,0.35,3.30,0.86,,
May,3.83,1.47,1.37,3.13,2.39,0.54,0.86,3.39,0.86,1.18,,
June,0.74,1.59,2.11,1.64,1.50,2.73,1.38,3.68,1.81,1.48,,
July,2.42,0.84,2.67,1.88,0.91,3.70,2.45,4.27,1.78,3.46,,
August,4.85,2.34,2.98,6.16,0.65,5.69,5.15,2.09,0.47,4.46,,
September,2.29,1.90,2.34,3.00,1.05,2.97,4.07,3.08,0.12,3.08,,
October,0.89,4.02,1.85,3.87,1.61,1.23,2.04,1.77,2.35,5.40,,
November,5.97,1.37,2.81,4.66,2.10,0.65,1.78,0.69,3.24,5.37,,
December,2.62,2.17,1.26,2.79,3.47,3.09,3.30,3.52,4.29,2.53,,
Total,32.72,21.52,22.45,34.35,20.64,29.02,27.60,32.53,22.37,36.67,,
Calc annual,32.72,21.52,22.45,34.35,20.64,29.02,27.60,32.53,22.37,36.67,,
Difference,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,,
