"CHELTENHAM (MONTPELLIER GARDENS)",,,,,,,,,,,,
Grid ref,SO945218,Long,-2.081333,Lat,51.894721,,,,,,,
Station no,2177,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.46,1.81,0.82,1.12,1.90,3.39,1.80,1.93,4.79,4.01,,
February,3.43,0.66,1.41,2.28,1.32,0.46,2.39,3.25,0.11,2.12,,
March,3.90,1.88,0.68,2.07,1.65,0.64,1.85,1.11,2.31,1.36,,
April,2.93,1.98,2.35,0.29,0.87,1.80,0.11,0.69,3.07,1.06,,
May,2.88,3.06,2.33,2.10,4.10,0.67,1.51,2.55,0.85,1.79,,
June,0.47,1.72,1.64,3.11,3.50,1.80,1.07,3.78,1.30,2.18,,
July,0.87,0.35,2.44,2.40,0.34,2.40,3.47,3.15,1.76,3.41,,
August,4.68,4.03,3.28,3.93,0.55,5.61,3.04,1.83,1.47,5.72,,
September,2.03,1.09,2.95,2.18,0.61,3.33,2.95,3.42,0.24,4.20,,
October,0.74,2.89,2.07,2.48,1.17,1.60,1.31,2.09,2.10,4.60,,
November,6.34,2.99,0.84,6.22,2.94,0.80,1.85,2.98,3.48,4.31,,
December,2.18,2.23,0.77,2.30,2.55,3.20,2.49,2.70,5.47,2.38,,
Total,32.91,24.69,21.58,30.48,21.50,25.70,23.84,29.48,26.95,37.14,,
Calc annual,32.91,24.69,21.58,30.48,21.50,25.70,23.84,29.48,26.95,37.14,,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,,
