"THEYDON BOIS (THRIFTS HILL)",,,,,,,,,,,,
Grid ref,TQ457987,Long,0.105451,Lat,51.668190,,,,,,,
Station no,1263/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.07,1.77,0.83,1.03,1.91,2.80,1.32,2.12,2.14,1.54,,
February,5.61,0.73,1.73,2.58,1.42,0.30,2.87,2.45,0.08,1.99,,
March,2.95,2.78,0.46,2.15,1.08,0.94,1.11,0.87,1.46,0.94,,
April,3.09,0.95,2.59,0.33,0.34,1.11,0.25,1.41,1.90,0.44,,
May,1.96,1.37,1.12,1.66,4.33,0.53,1.39,2.25,0.87,1.87,,
June,0.52,1.06,1.56,2.19,1.97,2.88,1.02,5.11,0.87,2.07,,
July,0.88,0.60,3.48,2.58,0.35,3.26,3.41,2.32,1.34,3.26,,
August,3.90,1.97,1.70,3.34,0.83,4.52,2.27,3.33,1.08,2.78,,
September,3.22,3.22,1.81,1.39,2.36,2.07,2.64,3.92,0.04,3.51,,
October,0.62,2.27,3.60,1.88,3.04,2.26,1.72,1.86,1.63,6.42,,
November,4.05,3.60,0.81,3.09,0.69,0.67,1.90,1.67,2.49,3.13,,
December,1.77,2.27,0.68,1.44,1.55,2.18,2.16,2.45,3.46,2.62,,
Total,30.64,22.59,20.37,23.66,19.87,23.52,22.06,29.76,17.36,30.57,,
Calc annual,30.64,22.59,20.37,23.66,19.87,23.52,22.06,29.76,17.36,30.57,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
