"APPLEBY CASTLE BANK",,,,,,,,,,,,
Grid ref,NY684198,Long,-2.490310,Lat,54.572422,,,,,,,
Station no,3685,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.70,3.32,0.80,2.33,2.43,2.83,4.24,3.17,2.15,4.40,,
February,3.28,0.42,1.22,2.30,1.78,0.75,2.27,4.75,0.75,4.28,,
March,2.03,1.79,0.37,2.42,1.00,0.50,1.36,0.69,1.26,0.83,,
April,2.48,2.71,2.61,0.53,1.04,0.70,0.40,0.70,2.86,2.05,,
May,1.35,2.37,1.49,3.27,3.13,1.27,1.93,3.52,0.75,1.51,,
June,0.99,2.24,1.72,2.59,1.95,4.42,1.23,3.00,4.39,1.44,,
July,2.45,0.96,3.71,2.18,2.05,2.39,3.47,3.46,3.78,5.05,,
August,3.51,3.57,4.38,4.25,1.42,8.12,4.51,4.82,0.57,2.46,,
September,2.84,2.23,3.36,5.67,1.12,2.41,3.86,3.59,1.12,1.98,,
October,0.70,4.39,1.76,8.22,1.93,2.26,3.62,4.37,3.01,2.05,,
November,6.15,1.61,3.17,6.66,1.83,1.04,1.28,0.59,4.62,6.39,,
December,6.99,3.04,1.56,4.13,3.45,4.12,2.52,2.68,4.82,3.42,,
Total,35.47,28.65,26.15,44.55,23.13,30.81,30.69,35.34,30.08,35.86,,
Calc annual,35.47,28.65,26.15,44.55,23.13,30.81,30.69,35.34,30.08,35.86,,
Difference,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
