"LETCHWORTH (NEW SEWAGE WORKS)",,,,,,,,,,,,
Grid ref,TL208347,Long,-0.241853,Lat,51.997613,,,,,,,
Station no,1167,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.32,1.23,0.87,0.76,1.66,3.52,0.96,2.40,2.87,,,
February,3.47,0.47,1.37,1.84,1.25,0.33,2.58,2.03,0.08,,,
March,2.64,2.14,0.41,1.73,0.92,0.46,0.83,1.03,2.30,,,
April,2.19,1.51,2.17,0.21,0.43,1.10,0.28,0.89,1.70,,,
May,2.11,2.56,1.34,2.30,4.33,0.32,0.90,1.52,0.77,,,
June,0.57,1.04,1.73,2.31,2.89,3.50,1.53,5.89,0.71,,,
July,1.10,0.35,2.26,2.74,0.43,3.31,2.30,3.62,2.88,2.84,,
August,3.21,3.51,2.08,3.28,1.28,4.02,3.79,2.93,1.50,3.19,,
September,2.48,2.43,2.04,1.32,1.14,1.72,2.26,3.23,0.08,3.23,,
October,0.91,2.03,2.47,1.44,2.18,1.46,1.99,1.55,1.35,4.53,,
November,3.40,3.01,1.47,3.94,1.08,0.62,1.61,1.61,1.79,3.12,,
December,1.17,1.54,0.39,1.77,1.91,2.67,2.02,2.35,2.94,2.91,,
Total,25.57,21.82,18.60,23.64,19.50,23.03,21.05,29.05,18.97,,,
Calc annual,25.57,21.82,18.60,23.64,19.50,23.03,21.05,29.05,18.97,19.82,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,NaN,,
