"LARGS (WOODBANK)",,,,,,,,,,,,
Grid ref,NS199607,Long,-4.875252,Lat,55.805903,,,,,,,
Station no,5216,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.43,5.35,2.94,5.31,2.47,3.40,5.53,5.87,1.79,2.99,,
February,3.36,2.15,2.05,5.93,2.80,1.66,3.47,4.00,2.01,4.19,,
March,3.82,3.76,1.08,3.42,1.39,3.17,4.37,1.41,2.94,2.69,,
April,2.34,2.26,3.19,2.19,4.24,1.21,2.12,2.15,3.63,4.62,,
May,1.61,2.10,2.30,3.43,3.74,2.82,1.59,3.70,1.43,2.61,,
June,1.87,3.20,1.72,3.37,4.01,3.23,2.65,2.79,3.54,2.25,,
July,3.55,3.51,4.19,4.19,1.15,4.41,5.41,4.75,5.42,3.85,,
August,3.94,4.53,4.16,5.51,1.28,5.13,4.17,4.59,1.45,3.33,,
September,4.04,3.62,5.21,6.82,4.60,4.22,2.43,3.99,1.63,4.13,,
October,1.75,8.06,4.79,8.45,4.96,3.24,5.38,3.26,5.38,3.30,,
November,7.17,2.79,7.41,7.87,2.46,2.35,3.01,2.09,6.09,7.86,,
December,8.30,4.95,4.92,5.89,7.31,5.79,6.77,7.22,9.98,6.58,,
Total,47.18,46.28,43.96,62.38,40.41,40.63,46.90,45.82,45.29,48.40,,
Calc annual,47.18,46.28,43.96,62.38,40.41,40.63,46.90,45.82,45.29,48.40,,
Difference,-0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,,
