"GREENOCK W W (KNOCKENCORSAN)",,,,,,,,,,,,
Grid ref,NS249682,Long,-4.800418,Lat,55.875048,,,,,,,
Station no,5219/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.20,8.50,4.80,8.50,5.10,4.50,7.60,7.60,2.30,5.20,,
February,4.40,3.50,3.50,7.50,4.20,2.20,4.90,4.70,2.70,6.90,,
March,4.50,4.80,1.70,4.50,2.00,3.60,6.40,2.10,4.30,3.50,,
April,3.70,3.20,3.20,3.70,4.50,1.90,3.30,2.90,5.50,6.60,,
May,2.80,2.30,3.30,3.90,4.30,4.10,2.30,5.00,2.00,3.20,,
June,2.30,4.50,1.80,6.50,8.30,4.00,2.90,4.00,4.00,3.60,,
July,5.30,4.50,7.80,5.90,5.90,6.20,6.30,7.00,8.00,6.70,,
August,4.90,7.20,6.80,7.30,1.30,7.50,6.10,5.80,2.20,4.60,,
September,5.30,5.00,8.00,8.90,8.80,5.10,4.20,5.30,2.00,4.30,,
October,2.50,8.60,4.90,11.20,6.30,3.20,6.70,5.70,7.60,4.50,,
November,8.50,2.90,10.30,11.40,3.70,3.30,4.00,2.70,7.60,10.30,,
December,9.40,7.00,6.20,9.10,9.00,7.60,7.90,7.70,12.30,7.50,,
Total,59.80,62.00,62.30,88.40,63.40,53.20,62.60,60.50,60.50,66.90,,
Calc annual,59.80,62.00,62.30,88.40,63.40,53.20,62.60,60.50,60.50,66.90,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
